countrycode,regioncode,regionname,regiontype,regionnotes1, regionnotes2
FR,FR43,département:Haute-Loire,Metropolitan department,département,Haute-Loire
FR,FR52,département:Haute-Marne,Metropolitan department,département,Haute-Marne
FR,FR70,département:Haute-Saône,Metropolitan department,département,Haute-Saône
FR,FR74,département:Haute-Savoie,Metropolitan department,département,Haute-Savoie
FR,FR87,département:Haute-Vienne,Metropolitan department,département,Haute-Vienne
FR,FR05,département:Hautes-Alpes,Metropolitan department,département,Hautes-Alpes
FR,FR65,département:Hautes-Pyrénées,Metropolitan department,département,Hautes-Pyrénées
FR,FR92,département:Hauts-de-Seine,Metropolitan department,département,Hauts-de-Seine
FR,FR34,département:Hérault,Metropolitan department,département,Hérault
FR,FR35,département:Ille-et-Vilaine,Metropolitan department,département,Ille-et-Vilaine
FR,FR36,département:Indre,Metropolitan department,département,Indre
FR,FR37,département:Indre-et-Loire,Metropolitan department,département,Indre-et-Loire
FR,FR38,département:Isère,Metropolitan department,département,Isère
FR,FR39,département:Jura,Metropolitan department,département,Jura
FR,FR40,département:Landes,Metropolitan department,département,Landes
FR,FR41,département:Loir-et-Cher,Metropolitan department,département,Loir-et-Cher
FR,FR42,département:Loire,Metropolitan department,département,Loire
FR,FR44,département:Loire-Atlantique,Metropolitan department,département,Loire-Atlantique
FR,FR45,département:Loiret,Metropolitan department,département,Loiret
FR,FR46,département:Lot,Metropolitan department,département,Lot
FR,FR47,département:Lot-et-Garonne,Metropolitan department,département,Lot-et-Garonne
FR,FR48,département:Lozère,Metropolitan department,département,Lozère
FR,FR49,département:Maine-et-Loire,Metropolitan department,département,Maine-et-Loire
FR,FR50,département:Manche,Metropolitan department,département,Manche
FR,FR51,département:Marne,Metropolitan department,département,Marne
FR,FR53,département:Mayenne,Metropolitan department,département,Mayenne
FR,FR54,département:Meurthe-et-Moselle,Metropolitan department,département,Meurthe-et-Moselle
FR,FR55,département:Meuse,Metropolitan department,département,Meuse
FR,FR56,département:Morbihan,Metropolitan department,département,Morbihan
FR,FR57,département:Moselle,Metropolitan department,département,Moselle
FR,FR58,département:Nièvre,Metropolitan department,département,Nièvre
FR,FR59,département:Nord,Metropolitan department,département,Nord
FR,FR60,département:Oise,Metropolitan department,département,Oise
FR,FR61,département:Orne,Metropolitan department,département,Orne
FR,FR75,département:Paris,Metropolitan department,département,Paris
FR,FR62,département:Pas-de-Calais,Metropolitan department,département,Pas-de-Calais
FR,FR63,département:Puy-de-Dôme,Metropolitan department,département,Puy-de-Dôme
FR,FR64,département:Pyrénées-Atlantiques,Metropolitan department,département,Pyrénées-Atlantiques
FR,FR66,département:Pyrénées-Orientales,Metropolitan department,département,Pyrénées-Orientales
FR,FR69,département:Rhône,Metropolitan department,département,Rhône
FR,FR71,département:Saône-et-Loire,Metropolitan department,département,Saône-et-Loire
FR,FR72,département:Sarthe,Metropolitan department,département,Sarthe
FR,FR73,département:Savoie,Metropolitan department,département,Savoie
FR,FR77,département:Seine-et-Marne,Metropolitan department,département,Seine-et-Marne
FR,FR76,département:Seine-Maritime,Metropolitan department,département,Seine-Maritime
FR,FR93,département:Seine-Saint-Denis,Metropolitan department,département,Seine-Saint-Denis
FR,FR80,département:Somme,Metropolitan department,département,Somme
FR,FR81,département:Tarn,Metropolitan department,département,Tarn
FR,FR82,département:Tarn-et-Garonne,Metropolitan department,département,Tarn-et-Garonne
FR,FR90,département:Territoire de Belfort,Metropolitan department,département,Territoire de Belfort
FR,FR95,département:Val-d'Oise,Metropolitan department,département,Val-d'Oise
FR,FR94,département:Val-de-Marne,Metropolitan department,département,Val-de-Marne
FR,FR83,département:Var,Metropolitan department,département,Var
FR,FR84,département:Vaucluse,Metropolitan department,département,Vaucluse
FR,FR85,département:Vendée,Metropolitan department,département,Vendée
FR,FR86,département:Vienne,Metropolitan department,département,Vienne
FR,FR88,département:Vosges,Metropolitan department,département,Vosges
FR,FR89,département:Yonne,Metropolitan department,département,Yonne
FR,FR78,département:Yvelines,Metropolitan department,département,Yvelines
FR,FRGP,région/département d'outre-mer:Guadeloupe,Overseas department,région/département d'outre-mer,Guadeloupe
FR,FRRE,région/département d'outre-mer:La Réunion,Overseas department,région/département d'outre-mer,La Réunion
FR,FRYT,région/département d'outre-mer:Mayotte,Overseas department,région/département d'outre-mer,Mayotte
FR,FRBL,région/département d'outre-mer:Saint-Barthélemy,Overseas territorial collectivity,région/département d'outre-mer,Saint-Barthélemy
FR,FRGF,collectivité d'outre-mer:Guyane (française),Overseas territorial collectivity,collectivité d'outre-mer,Guyane (française)
FR,FRMQ,collectivité d'outre-mer:Martinique,Overseas territorial collectivity,collectivité d'outre-mer,Martinique
FR,FRNC,collectivité d'outre-mer:Nouvelle-Calédonie,Overseas territorial collectivity,collectivité d'outre-mer,Nouvelle-Calédonie
FR,FRPF,collectivité d'outre-mer:Polynésie française,Overseas territorial collectivity,collectivité d'outre-mer,Polynésie française
FR,FRMF,collectivité d'outre-mer:Saint-Martin,Overseas territorial collectivity,collectivité d'outre-mer,Saint-Martin
FR,FRPM,collectivité d'outre-mer:Saint-Pierre-et-Miquelon,Overseas territorial collectivity,collectivité d'outre-mer,Saint-Pierre-et-Miquelon
FR,FRTF,collectivité d'outre-mer:Terres australes françaises,Overseas territorial collectivity,collectivité d'outre-mer,Terres australes françaises
FR,FRWF,collectivité d'outre-mer:Wallis-et-Futuna,Overseas territorial collectivity,collectivité d'outre-mer,Wallis-et-Futuna
FR,FRCP,Propriété domaniale d'outre-mer:Clipperton,Dependency,Propriété domaniale d'outre-mer,Clipperton
FM,FMKSA,Kosrae,State,,
FM,FMPNI,Pohnpei,State,,
FM,FMTRK,Chuuk,State,,
FM,FMYAP,Yap,State,,
GA,GA1,Estuaire,Province,,
GA,GA2,Haut-Ogooué,Province,,
GA,GA3,Moyen-Ogooué,Province,,
GA,GA4,Ngounié,Province,,
GA,GA5,Nyanga,Province,,
GA,GA6,Ogooué-Ivindo,Province,,
GA,GA7,Ogooué-Lolo,Province,,
GA,GA8,Ogooué-Maritime,Province,,
GA,GA9,Woleu-Ntem,Province,,
GB,GBLND,"London, City of",City corporation,"City corporation:London, City of",
GB,GBABD,Aberdeenshire,Council area,Council area:Aberdeenshire,
GB,GBABE,Aberdeen City,Council area,Council area:Aberdeen City,
GB,GBAGB,Argyll and Bute,Council area,Council area:Argyll and Bute,
GB,GBANS,Angus,Council area,Council area:Angus,
GB,GBCLK,Clackmannanshire,Council area,Council area:Clackmannanshire,
GB,GBDGY,Dumfries and Galloway,Council area,Council area:Dumfries and Galloway,
GB,GBDND,Dundee City,Council area,Council area:Dundee City,
GB,GBEAY,East Ayrshire,Council area,Council area:East Ayrshire,
GB,GBEDH,"Edinburgh, City of",Council area,"Council area:Edinburgh, City of",
GB,GBEDU,East Dunbartonshire,Council area,Council area:East Dunbartonshire,
GB,GBELN,East Lothian,Council area,Council area:East Lothian,
GB,GBELS,Eilean Siar,Council area,Council area:Eilean Siar,
GB,GBERW,East Renfrewshire,Council area,Council area:East Renfrewshire,
GB,GBFAL,Falkirk,Council area,Council area:Falkirk,
GB,GBFIF,Fife,Council area,Council area:Fife,
GB,GBGLG,Glasgow City,Council area,Council area:Glasgow City,
GB,GBHLD,Highland,Council area,Council area:Highland,
GB,GBIVC,Inverclyde,Council area,Council area:Inverclyde,
GB,GBMLN,Midlothian,Council area,Council area:Midlothian,
GB,GBMRY,Moray,Council area,Council area:Moray,
GB,GBNAY,North Ayrshire,Council area,Council area:North Ayrshire,
GB,GBNLK,North Lanarkshire,Council area,Council area:North Lanarkshire,
GB,GBORK,Orkney Islands,Council area,Council area:Orkney Islands,
GB,GBPKN,Perth and Kinross,Council area,Council area:Perth and Kinross,
GB,GBRFW,Renfrewshire,Council area,Council area:Renfrewshire,
GB,GBSAY,South Ayrshire,Council area,Council area:South Ayrshire,
GB,GBSCB,"Scottish Borders, The",Council area,"Council area:Scottish Borders, The",
GB,GBSLK,South Lanarkshire,Council area,Council area:South Lanarkshire,
GB,GBSTG,Stirling,Council area,Council area:Stirling,
GB,GBWDU,West Dunbartonshire,Council area,Council area:West Dunbartonshire,
GB,GBWLN,West Lothian,Council area,Council area:West Lothian,
GB,GBZET,Shetland Islands,Council area,Council area:Shetland Islands,
GB,GBENG,England,Country,Country:England,
GB,GBSCT,Scotland,Country,Country:Scotland,
GB,GBWLS,Wales; Cymru,Country,Country:Wales; Cymru,
GB,GBNIR,Northern Ireland,Province,Province:Northern Ireland,
GB,GBABC,"Armagh, Banbridge and Craigavon",District,"District:Armagh, Banbridge and Craigavon",
GB,GBAND,Ards and North Down,District,District:Ards and North Down,
GB,GBANN,Antrim and Newtownabbey,District,District:Antrim and Newtownabbey,
GB,GBBFS,Belfast,District,District:Belfast,
GB,GBCCG,Causeway Coast and Glens,District,District:Causeway Coast and Glens,
GB,GBDRS,Derry and Strabane,District,District:Derry and Strabane,
GB,GBFMO,Fermanagh and Omagh,District,District:Fermanagh and Omagh,
GB,GBLBC,Lisburn and Castlereagh,District,District:Lisburn and Castlereagh,
GB,GBMEA,Mid and East Antrim,District,District:Mid and East Antrim,
GB,GBMUL,Mid Ulster,District,District:Mid Ulster,
GB,GBNMD,"Newry, Mourne and Down",District,"District:Newry, Mourne and Down",
GB,GBBDG,Barking and Dagenham,London borough,London borough:Barking and Dagenham,
GB,GBBEN,Brent,London borough,London borough:Brent,
GB,GBBEX,Bexley,London borough,London borough:Bexley,
GB,GBBNE,Barnet,London borough,London borough:Barnet,
GB,GBBRY,Bromley,London borough,London borough:Bromley,
GB,GBCMD,Camden,London borough,London borough:Camden,
GB,GBCRY,Croydon,London borough,London borough:Croydon,
GB,GBEAL,Ealing,London borough,London borough:Ealing,
GB,GBENF,Enfield,London borough,London borough:Enfield,
GB,GBGRE,Greenwich,London borough,London borough:Greenwich,
GB,GBHAV,Havering,London borough,London borough:Havering,
GB,GBHCK,Hackney,London borough,London borough:Hackney,
GB,GBHIL,Hillingdon,London borough,London borough:Hillingdon,
GB,GBHMF,Hammersmith and Fulham,London borough,London borough:Hammersmith and Fulham,
GB,GBHNS,Hounslow,London borough,London borough:Hounslow,
GB,GBHRW,Harrow,London borough,London borough:Harrow,
GB,GBHRY,Haringey,London borough,London borough:Haringey,
GB,GBISL,Islington,London borough,London borough:Islington,
GB,GBKEC,Kensington and Chelsea,London borough,London borough:Kensington and Chelsea,
GB,GBKTT,Kingston upon Thames,London borough,London borough:Kingston upon Thames,
GB,GBLBH,Lambeth,London borough,London borough:Lambeth,
GB,GBLEW,Lewisham,London borough,London borough:Lewisham,
GB,GBMRT,Merton,London borough,London borough:Merton,
GB,GBNWM,Newham,London borough,London borough:Newham,
GB,GBRDB,Redbridge,London borough,London borough:Redbridge,
GB,GBRIC,Richmond upon Thames,London borough,London borough:Richmond upon Thames,
GB,GBSTN,Sutton,London borough,London borough:Sutton,
GB,GBSWK,Southwark,London borough,London borough:Southwark,
GB,GBTWH,Tower Hamlets,London borough,London borough:Tower Hamlets,
GB,GBWFT,Waltham Forest,London borough,London borough:Waltham Forest,
GB,GBWND,Wandsworth,London borough,London borough:Wandsworth,
GB,GBWSM,Westminster,London borough,London borough:Westminster,
GB,GBBIR,Birmingham,Metropolitan district,Metropolitan district:Birmingham,
GB,GBBNS,Barnsley,Metropolitan district,Metropolitan district:Barnsley,
GB,GBBOL,Bolton,Metropolitan district,Metropolitan district:Bolton,
GB,GBBRD,Bradford,Metropolitan district,Metropolitan district:Bradford,
GB,GBBUR,Bury,Metropolitan district,Metropolitan district:Bury,
GB,GBCLD,Calderdale,Metropolitan district,Metropolitan district:Calderdale,
GB,GBCOV,Coventry,Metropolitan district,Metropolitan district:Coventry,
GB,GBDNC,Doncaster,Metropolitan district,Metropolitan district:Doncaster,
GB,GBDUD,Dudley,Metropolitan district,Metropolitan district:Dudley,
GB,GBGAT,Gateshead,Metropolitan district,Metropolitan district:Gateshead,
GB,GBKIR,Kirklees,Metropolitan district,Metropolitan district:Kirklees,
GB,GBKWL,Knowsley,Metropolitan district,Metropolitan district:Knowsley,
GB,GBLDS,Leeds,Metropolitan district,Metropolitan district:Leeds,
GB,GBLIV,Liverpool,Metropolitan district,Metropolitan district:Liverpool,
GB,GBMAN,Manchester,Metropolitan district,Metropolitan district:Manchester,
GB,GBNET,Newcastle upon Tyne,Metropolitan district,Metropolitan district:Newcastle upon Tyne,
GB,GBNTY,North Tyneside,Metropolitan district,Metropolitan district:North Tyneside,
GB,GBOLD,Oldham,Metropolitan district,Metropolitan district:Oldham,
GB,GBRCH,Rochdale,Metropolitan district,Metropolitan district:Rochdale,
GB,GBROT,Rotherham,Metropolitan district,Metropolitan district:Rotherham,
GB,GBSAW,Sandwell,Metropolitan district,Metropolitan district:Sandwell,
GB,GBSFT,Sefton,Metropolitan district,Metropolitan district:Sefton,
GB,GBSHF,Sheffield,Metropolitan district,Metropolitan district:Sheffield,
GB,GBSHN,St. Helens,Metropolitan district,Metropolitan district:St. Helens,
GB,GBSKP,Stockport,Metropolitan district,Metropolitan district:Stockport,
GB,GBSLF,Salford,Metropolitan district,Metropolitan district:Salford,
GB,GBSND,Sunderland,Metropolitan district,Metropolitan district:Sunderland,
GB,GBSOL,Solihull,Metropolitan district,Metropolitan district:Solihull,
GB,GBSTY,South Tyneside,Metropolitan district,Metropolitan district:South Tyneside,
GB,GBTAM,Tameside,Metropolitan district,Metropolitan district:Tameside,
GB,GBTRF,Trafford,Metropolitan district,Metropolitan district:Trafford,
GB,GBWGN,Wigan,Metropolitan district,Metropolitan district:Wigan,
GB,GBWKF,Wakefield,Metropolitan district,Metropolitan district:Wakefield,
GB,GBWLL,Walsall,Metropolitan district,Metropolitan district:Walsall,
GB,GBWLV,Wolverhampton,Metropolitan district,Metropolitan district:Wolverhampton,
GB,GBWRL,Wirral,Metropolitan district,Metropolitan district:Wirral,
GB,GBEAW,England and Wales,Nation,Nation:England and Wales,
GB,GBGBN,Great Britain,Nation,Nation:Great Britain,
GB,GBUKM,United Kingdom,Nation,Nation:United Kingdom,
GB,GBBKM,Buckinghamshire,Two-tier county,Two-tier county:Buckinghamshire,
GB,GBCAM,Cambridgeshire,Two-tier county,Two-tier county:Cambridgeshire,
GB,GBCMA,Cumbria,Two-tier county,Two-tier county:Cumbria,
GB,GBDBY,Derbyshire,Two-tier county,Two-tier county:Derbyshire,
GB,GBDEV,Devon,Two-tier county,Two-tier county:Devon,
GB,GBDOR,Dorset,Two-tier county,Two-tier county:Dorset,
GB,GBESS,Essex,Two-tier county,Two-tier county:Essex,
GB,GBESX,East Sussex,Two-tier county,Two-tier county:East Sussex,
GB,GBGLS,Gloucestershire,Two-tier county,Two-tier county:Gloucestershire,
GB,GBHAM,Hampshire,Two-tier county,Two-tier county:Hampshire,
GB,GBHRT,Hertfordshire,Two-tier county,Two-tier county:Hertfordshire,
GB,GBKEN,Kent,Two-tier county,Two-tier county:Kent,
GB,GBLAN,Lancashire,Two-tier county,Two-tier county:Lancashire,
GB,GBLEC,Leicestershire,Two-tier county,Two-tier county:Leicestershire,
GB,GBLIN,Lincolnshire,Two-tier county,Two-tier county:Lincolnshire,
GB,GBNFK,Norfolk,Two-tier county,Two-tier county:Norfolk,
GB,GBNTH,Northamptonshire,Two-tier county,Two-tier county:Northamptonshire,
GB,GBNTT,Nottinghamshire,Two-tier county,Two-tier county:Nottinghamshire,
GB,GBNYK,North Yorkshire,Two-tier county,Two-tier county:North Yorkshire,
GB,GBOXF,Oxfordshire,Two-tier county,Two-tier county:Oxfordshire,
GB,GBSFK,Suffolk,Two-tier county,Two-tier county:Suffolk,
GB,GBSOM,Somerset,Two-tier county,Two-tier county:Somerset,
GB,GBSRY,Surrey,Two-tier county,Two-tier county:Surrey,
GB,GBSTS,Staffordshire,Two-tier county,Two-tier county:Staffordshire,
GB,GBWAR,Warwickshire,Two-tier county,Two-tier county:Warwickshire,
GB,GBWOR,Worcestershire,Two-tier county,Two-tier county:Worcestershire,
GB,GBWSX,West Sussex,Two-tier county,Two-tier county:West Sussex,
GB,GBAGY,Isle of Anglesey; Sir Ynys Môn,Unitary authority,Unitary authority:Isle of Anglesey; Sir Ynys Môn,
GB,GBBAS,Bath and North East Somerset,Unitary authority,Unitary authority:Bath and North East Somerset,
GB,GBBBD,Blackburn with Darwen,Unitary authority,Unitary authority:Blackburn with Darwen,
GB,GBBDF,Bedford,Unitary authority,Unitary authority:Bedford,
GB,GBBGE,Bridgend; Pen-y-bont ar Ogwr,Unitary authority,Unitary authority:Bridgend; Pen-y-bont ar Ogwr,
GB,GBBGW,Blaenau Gwent,Unitary authority,Unitary authority:Blaenau Gwent,
GB,GBBMH,Bournemouth,Unitary authority,Unitary authority:Bournemouth,
GB,GBBNH,Brighton and Hove,Unitary authority,Unitary authority:Brighton and Hove,
GB,GBBPL,Blackpool,Unitary authority,Unitary authority:Blackpool,
GB,GBBRC,Bracknell Forest,Unitary authority,Unitary authority:Bracknell Forest,
GB,GBBST,"Bristol, City of",Unitary authority,"Unitary authority:Bristol, City of",
GB,GBCAY,Caerphilly; Caerffili,Unitary authority,Unitary authority:Caerphilly; Caerffili,
GB,GBCBF,Central Bedfordshire,Unitary authority,Unitary authority:Central Bedfordshire,
GB,GBCGN,Ceredigion; Sir Ceredigion,Unitary authority,Unitary authority:Ceredigion; Sir Ceredigion,
GB,GBCHE,Cheshire East,Unitary authority,Unitary authority:Cheshire East,
GB,GBCHW,Cheshire West and Chester,Unitary authority,Unitary authority:Cheshire West and Chester,
GB,GBCMN,Carmarthenshire; Sir Gaerfyrddin,Unitary authority,Unitary authority:Carmarthenshire; Sir Gaerfyrddin,
GB,GBCON,Cornwall,Unitary authority,Unitary authority:Cornwall,
GB,GBCRF,Cardiff; Caerdydd,Unitary authority,Unitary authority:Cardiff; Caerdydd,
GB,GBCWY,Conwy,Unitary authority,Unitary authority:Conwy,
GB,GBDAL,Darlington,Unitary authority,Unitary authority:Darlington,
GB,GBDEN,Denbighshire; Sir Ddinbych,Unitary authority,Unitary authority:Denbighshire; Sir Ddinbych,
GB,GBDER,Derby,Unitary authority,Unitary authority:Derby,
GB,GBDUR,Durham County,Unitary authority,Unitary authority:Durham County,
GB,GBERY,East Riding of Yorkshire,Unitary authority,Unitary authority:East Riding of Yorkshire,
GB,GBFLN,Flintshire; Sir y Fflint,Unitary authority,Unitary authority:Flintshire; Sir y Fflint,
GB,GBGWN,Gwynedd,Unitary authority,Unitary authority:Gwynedd,
GB,GBHAL,Halton,Unitary authority,Unitary authority:Halton,
GB,GBHEF,Herefordshire,Unitary authority,Unitary authority:Herefordshire,
GB,GBHPL,Hartlepool,Unitary authority,Unitary authority:Hartlepool,
GB,GBIOS,Isles of Scilly,Unitary authority,Unitary authority:Isles of Scilly,
GB,GBIOW,Isle of Wight,Unitary authority,Unitary authority:Isle of Wight,
GB,GBKHL,Kingston upon Hull,Unitary authority,Unitary authority:Kingston upon Hull,
GB,GBLCE,Leicester,Unitary authority,Unitary authority:Leicester,
GB,GBLUT,Luton,Unitary authority,Unitary authority:Luton,
GB,GBMDB,Middlesbrough,Unitary authority,Unitary authority:Middlesbrough,
GB,GBMDW,Medway,Unitary authority,Unitary authority:Medway,
GB,GBMIK,Milton Keynes,Unitary authority,Unitary authority:Milton Keynes,
GB,GBMON,Monmouthshire; Sir Fynwy,Unitary authority,Unitary authority:Monmouthshire; Sir Fynwy,
GB,GBMTY,Merthyr Tydfil; Merthyr Tudful,Unitary authority,Unitary authority:Merthyr Tydfil; Merthyr Tudful,
GB,GBNBL,Northumberland,Unitary authority,Unitary authority:Northumberland,
GB,GBNEL,North East Lincolnshire,Unitary authority,Unitary authority:North East Lincolnshire,
GB,GBNGM,Nottingham,Unitary authority,Unitary authority:Nottingham,
GB,GBNLN,North Lincolnshire,Unitary authority,Unitary authority:North Lincolnshire,
GB,GBNSM,North Somerset,Unitary authority,Unitary authority:North Somerset,
GB,GBNTL,Neath Port Talbot; Castell-nedd Port Talbot,Unitary authority,Unitary authority:Neath Port Talbot; Castell-nedd Port Talbot,
GB,GBNWP,Newport; Casnewydd,Unitary authority,Unitary authority:Newport; Casnewydd,
GB,GBPEM,Pembrokeshire; Sir Benfro,Unitary authority,Unitary authority:Pembrokeshire; Sir Benfro,
GB,GBPLY,Plymouth,Unitary authority,Unitary authority:Plymouth,
GB,GBPOL,Poole,Unitary authority,Unitary authority:Poole,
GB,GBPOR,Portsmouth,Unitary authority,Unitary authority:Portsmouth,
GB,GBPOW,Powys,Unitary authority,Unitary authority:Powys,
GB,GBPTE,Peterborough,Unitary authority,Unitary authority:Peterborough,
GB,GBRCC,Redcar and Cleveland,Unitary authority,Unitary authority:Redcar and Cleveland,
GB,GBRCT,"Rhondda, Cynon, Taff; Rhondda, Cynon, Taf",Unitary authority,"Unitary authority:Rhondda, Cynon, Taff; Rhondda, Cynon, Taf",
GB,GBRDG,Reading,Unitary authority,Unitary authority:Reading,
GB,GBRUT,Rutland,Unitary authority,Unitary authority:Rutland,
GB,GBSGC,South Gloucestershire,Unitary authority,Unitary authority:South Gloucestershire,
GB,GBSHR,Shropshire,Unitary authority,Unitary authority:Shropshire,
GB,GBSLG,Slough,Unitary authority,Unitary authority:Slough,
GB,GBSOS,Southend-on-Sea,Unitary authority,Unitary authority:Southend-on-Sea,
GB,GBSTE,Stoke-on-Trent,Unitary authority,Unitary authority:Stoke-on-Trent,
GB,GBSTH,Southampton,Unitary authority,Unitary authority:Southampton,
GB,GBSTT,Stockton-on-Tees,Unitary authority,Unitary authority:Stockton-on-Tees,
GB,GBSWA,Swansea; Abertawe,Unitary authority,Unitary authority:Swansea; Abertawe,
GB,GBSWD,Swindon,Unitary authority,Unitary authority:Swindon,
GB,GBTFW,Telford and Wrekin,Unitary authority,Unitary authority:Telford and Wrekin,
GB,GBTHR,Thurrock,Unitary authority,Unitary authority:Thurrock,
GB,GBTOB,Torbay,Unitary authority,Unitary authority:Torbay,
GB,GBTOF,Torfaen; Tor-faen,Unitary authority,Unitary authority:Torfaen; Tor-faen,
GB,GBVGL,"Vale of Glamorgan, The; Bro Morgannwg",Unitary authority,"Unitary authority:Vale of Glamorgan, The; Bro Morgannwg",
GB,GBWBK,West Berkshire,Unitary authority,Unitary authority:West Berkshire,
GB,GBWIL,Wiltshire,Unitary authority,Unitary authority:Wiltshire,
GB,GBWNM,Windsor and Maidenhead,Unitary authority,Unitary authority:Windsor and Maidenhead,
GB,GBWOK,Wokingham,Unitary authority,Unitary authority:Wokingham,
GB,GBWRT,Warrington,Unitary authority,Unitary authority:Warrington,
GB,GBWRX,Wrexham; Wrecsam,Unitary authority,Unitary authority:Wrexham; Wrecsam,
GB,GBYOR,York,Unitary authority,Unitary authority:York,
GE,GEAB,Abkhazia,Autonomous republic,,
GE,GEAJ,Ajaria,Autonomous republic,,
GE,GEGU,Guria,Region,,
GE,GEIM,Imeret’i,Region,,
GE,GEKA,Kakhet’i,Region,,
GE,GEKK,K’vemo K’art’li,Region,,
GE,GEMM,Mts’khet’a-Mt’ianet’i,Region,,
GE,GERL,Racha-Lech’khumi-K’vemo Svanet’i,Region,,
GE,GESJ,Samts’khe-Javakhet’i,Region,,
GE,GESK,Shida K’art’li,Region,,
GE,GESZ,Samegrelo-Zemo Svanet’i,Region,,
GE,GETB,T’bilisi,City,,
GH,GHAA,Greater Accra,Region,,
GH,GHAH,Ashanti,Region,,
GH,GHBA,Brong-Ahafo,Region,,
GH,GHCP,Central,Region,,
GH,GHEP,Eastern,Region,,
GH,GHNP,Northern,Region,,
GH,GHTV,Volta,Region,,
GH,GHUE,Upper East,Region,,
GH,GHUW,Upper West,Region,,
GH,GHWP,Western,Region,,
GN,GNB,Boké,Governorate,,
GN,GNBE,Beyla,Prefecture,,
GN,GNBF,Boffa,Prefecture,,
GN,GNBK,Boké,Prefecture,,
GN,GNC,Conakry,Special zone,,
GN,GNCO,Coyah,Prefecture,,
GN,GND,Kindia,Governorate,,
GN,GNDB,Dabola,Prefecture,,
GN,GNDI,Dinguiraye,Prefecture,,
GN,GNDL,Dalaba,Prefecture,,
GN,GNDU,Dubréka,Prefecture,,
GN,GNF,Faranah,Governorate,,
GN,GNFA,Faranah,Prefecture,,
GN,GNFO,Forécariah,Prefecture,,
GN,GNFR,Fria,Prefecture,,
GN,GNGA,Gaoual,Prefecture,,
GN,GNGU,Guékédou,Prefecture,,
GN,GNK,Kankan,Governorate,,
GN,GNKA,Kankan,Prefecture,,
GN,GNKB,Koubia,Prefecture,,
GN,GNKD,Kindia,Prefecture,,
GN,GNKE,Kérouané,Prefecture,,
GN,GNKN,Koundara,Prefecture,,
GN,GNKO,Kouroussa,Prefecture,,
GN,GNKS,Kissidougou,Prefecture,,
GN,GNL,Labé,Governorate,,
GN,GNLA,Labé,Prefecture,,
GN,GNLE,Lélouma,Prefecture,,
GN,GNLO,Lola,Prefecture,,
GN,GNM,Mamou,Governorate,,
GN,GNMC,Macenta,Prefecture,,
GN,GNMD,Mandiana,Prefecture,,
GN,GNML,Mali,Prefecture,,
GN,GNMM,Mamou,Prefecture,,
GN,GNN,Nzérékoré,Governorate,,
GN,GNNZ,Nzérékoré,Prefecture,,
GN,GNPI,Pita,Prefecture,,
GN,GNSI,Siguiri,Prefecture,,
GN,GNTE,Télimélé,Prefecture,,
GN,GNTO,Tougué,Prefecture,,
GN,GNYO,Yomou,Prefecture,,
GM,GMB,Banjul,City,,
GM,GML,Lower River,Division,,
GM,GMM,Central River,Division,,
GM,GMN,North Bank,Division,,
GM,GMU,Upper River,Division,,
GM,GMW,Western,Division,,
GW,GWBA,Bafatá,Region,,
GW,GWBL,Bolama,Region,,
GW,GWBM,Biombo,Region,,
GW,GWBS,Bissau,Autonomous sector,,
GW,GWCA,Cacheu,Region,,
GW,GWGA,Gabú,Region,,
GW,GWL,Leste,Province,,
GW,GWN,Norte,Province,,
GW,GWOI,Oio,Region,,
GW,GWQU,Quinara,Region,,
GW,GWS,Sul,Province,,
GW,GWTO,Tombali,Region,,
GQ,GQAN,Annobón,Province,,
GQ,GQBN,Bioko Norte,Province,,
GQ,GQBS,Bioko Sur,Province,,
GQ,GQC,Región Continental,Region,,
GQ,GQCS,Centro Sur,Province,,
GQ,GQI,Región Insular,Region,,
GQ,GQKN,Kié-Ntem,Province,,
GQ,GQLI,Litoral,Province,,
GQ,GQWN,Wele-Nzas,Province,,
GR,GRA,Anatoliki Makedonia kai Thraki,Administrative region,,
GR,GRI,Attiki,Administrative region,,
GR,GRG,Dytiki Ellada,Administrative region,,
GR,GRC,Dytiki Makedonia,Administrative region,,
GR,GRF,Ionia Nisia,Administrative region,,
GR,GRD,Ipeiros,Administrative region,,
GR,GRB,Kentriki Makedonia,Administrative region,,
GR,GRM,Kriti,Administrative region,,
GR,GRL,Notio Aigaio,Administrative region,,
GR,GRJ,Peloponnisos,Administrative region,,
GR,GRH,Sterea Ellada,Administrative region,,
GR,GRE,Thessalia,Administrative region,,
GR,GRK,Voreio Aigaio,Administrative region,,
GR,GR13,Achaïa,Department,,
GR,GR01,Aitolia kai Akarnania,Department,,
GR,GR11,Argolida,Department,,
GR,GR12,Arkadia,Department,,
GR,GR31,Arta,Department,,
GR,GRA1,Attiki,Department,,
GR,GR64,Chalkidiki,Department,,
GR,GR94,Chania,Department,,
GR,GR85,Chios,Department,,
GR,GR81,Dodekanisos,Department,,
GR,GR52,Drama,Department,,
GR,GR71,Evros,Department,,
GR,GR05,Evrytania,Department,,
GR,GR04,Evvoias,Department,,
GR,GR63,Florina,Department,,
GR,GR07,Fokida,Department,,
GR,GR06,Fthiotida,Department,,
GR,GR51,Grevena,Department,,
GR,GR14,Ileia,Department,,
GR,GR53,Imathia,Department,,
GR,GR33,Ioannina,Department,,
GR,GR91,Irakleio,Department,,
GR,GR41,Karditsa,Department,,
